split,image_id,image_path,width,height,label_path,num_objects,class_ids,annotation_format
train,20230123_113659_jpg.rf.e907d2428f14a8dda48ba00ee36385b9.jpg,E:\project\orangefruitnet\train\images\20230123_113659_jpg.rf.e907d2428f14a8dda48ba00ee36385b9.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113659_jpg.rf.e907d2428f14a8dda48ba00ee36385b9.txt,136,[2],YOLO
train,20230123_113705_jpg.rf.03b27306386bf5a8e4e8a924ffcaa8b8.jpg,E:\project\orangefruitnet\train\images\20230123_113705_jpg.rf.03b27306386bf5a8e4e8a924ffcaa8b8.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113705_jpg.rf.03b27306386bf5a8e4e8a924ffcaa8b8.txt,110,[2],YOLO
train,20230123_113713_jpg.rf.d3b06e78da8f4cbe53cedbc46f9183e1.jpg,E:\project\orangefruitnet\train\images\20230123_113713_jpg.rf.d3b06e78da8f4cbe53cedbc46f9183e1.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113713_jpg.rf.d3b06e78da8f4cbe53cedbc46f9183e1.txt,110,[2],YOLO
train,20230123_113723_jpg.rf.fcb6117593eb84d7bf31d728d58d9f33.jpg,E:\project\orangefruitnet\train\images\20230123_113723_jpg.rf.fcb6117593eb84d7bf31d728d58d9f33.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113723_jpg.rf.fcb6117593eb84d7bf31d728d58d9f33.txt,117,[2],YOLO
train,20230123_113730_jpg.rf.450c7e6b7b239dce605abc0754f4b892.jpg,E:\project\orangefruitnet\train\images\20230123_113730_jpg.rf.450c7e6b7b239dce605abc0754f4b892.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113730_jpg.rf.450c7e6b7b239dce605abc0754f4b892.txt,99,[2],YOLO
train,20230123_113732_jpg.rf.468b72aa8f82d8b7a3362bd2a3e61194.jpg,E:\project\orangefruitnet\train\images\20230123_113732_jpg.rf.468b72aa8f82d8b7a3362bd2a3e61194.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113732_jpg.rf.468b72aa8f82d8b7a3362bd2a3e61194.txt,51,[2],YOLO
train,20230123_113745_jpg.rf.911da4ea8ce1255ba4c403d028f0329e.jpg,E:\project\orangefruitnet\train\images\20230123_113745_jpg.rf.911da4ea8ce1255ba4c403d028f0329e.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113745_jpg.rf.911da4ea8ce1255ba4c403d028f0329e.txt,21,[2],YOLO
train,20230123_113749_jpg.rf.94b1631e2e66c63cf9814585ab498e1a.jpg,E:\project\orangefruitnet\train\images\20230123_113749_jpg.rf.94b1631e2e66c63cf9814585ab498e1a.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113749_jpg.rf.94b1631e2e66c63cf9814585ab498e1a.txt,18,[2],YOLO
train,20230123_113755_jpg.rf.9a3bcf6327897d953c48999654f9fd2d.jpg,E:\project\orangefruitnet\train\images\20230123_113755_jpg.rf.9a3bcf6327897d953c48999654f9fd2d.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113755_jpg.rf.9a3bcf6327897d953c48999654f9fd2d.txt,29,[2],YOLO
train,20230123_113803_jpg.rf.ae745a55b170727948a5b2b4674c4802.jpg,E:\project\orangefruitnet\train\images\20230123_113803_jpg.rf.ae745a55b170727948a5b2b4674c4802.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113803_jpg.rf.ae745a55b170727948a5b2b4674c4802.txt,30,[2],YOLO
train,20230123_113813_jpg.rf.1144ff26d7af4528a5adf7f3434d228b.jpg,E:\project\orangefruitnet\train\images\20230123_113813_jpg.rf.1144ff26d7af4528a5adf7f3434d228b.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113813_jpg.rf.1144ff26d7af4528a5adf7f3434d228b.txt,17,"[1, 2]",YOLO
train,20230123_113823_jpg.rf.f7d4ce3d82a38a70cb60e6872e57396d.jpg,E:\project\orangefruitnet\train\images\20230123_113823_jpg.rf.f7d4ce3d82a38a70cb60e6872e57396d.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113823_jpg.rf.f7d4ce3d82a38a70cb60e6872e57396d.txt,30,[2],YOLO
train,20230123_113833_jpg.rf.571a26a5a14402f74297935eef851665.jpg,E:\project\orangefruitnet\train\images\20230123_113833_jpg.rf.571a26a5a14402f74297935eef851665.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113833_jpg.rf.571a26a5a14402f74297935eef851665.txt,44,[2],YOLO
train,20230123_113901_jpg.rf.548cfb6b1a5d997b2228f405d077173a.jpg,E:\project\orangefruitnet\train\images\20230123_113901_jpg.rf.548cfb6b1a5d997b2228f405d077173a.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113901_jpg.rf.548cfb6b1a5d997b2228f405d077173a.txt,48,[2],YOLO
train,20230123_113908_jpg.rf.808fc9d9543b6829a45959cb92d5381e.jpg,E:\project\orangefruitnet\train\images\20230123_113908_jpg.rf.808fc9d9543b6829a45959cb92d5381e.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113908_jpg.rf.808fc9d9543b6829a45959cb92d5381e.txt,151,[2],YOLO
train,20230123_113916_jpg.rf.d1254bfdf544bbe3c59871a924e0a580.jpg,E:\project\orangefruitnet\train\images\20230123_113916_jpg.rf.d1254bfdf544bbe3c59871a924e0a580.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113916_jpg.rf.d1254bfdf544bbe3c59871a924e0a580.txt,37,[2],YOLO
train,20230123_113931_jpg.rf.fc0f8f39eaa6f8159c05c3d50bd7ab9b.jpg,E:\project\orangefruitnet\train\images\20230123_113931_jpg.rf.fc0f8f39eaa6f8159c05c3d50bd7ab9b.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113931_jpg.rf.fc0f8f39eaa6f8159c05c3d50bd7ab9b.txt,13,[2],YOLO
train,20230123_113938_jpg.rf.fe1820cd099b44714c8776a496a6e39c.jpg,E:\project\orangefruitnet\train\images\20230123_113938_jpg.rf.fe1820cd099b44714c8776a496a6e39c.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113938_jpg.rf.fe1820cd099b44714c8776a496a6e39c.txt,11,[2],YOLO
train,20230123_113949_jpg.rf.aff460a3319452d883caefdd2ea4bc15.jpg,E:\project\orangefruitnet\train\images\20230123_113949_jpg.rf.aff460a3319452d883caefdd2ea4bc15.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_113949_jpg.rf.aff460a3319452d883caefdd2ea4bc15.txt,17,[2],YOLO
train,20230123_114002_jpg.rf.a1f4e2db0e9f46570df1a35f9f45c69c.jpg,E:\project\orangefruitnet\train\images\20230123_114002_jpg.rf.a1f4e2db0e9f46570df1a35f9f45c69c.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_114002_jpg.rf.a1f4e2db0e9f46570df1a35f9f45c69c.txt,89,[2],YOLO
train,20230123_114012_jpg.rf.00cd4053d843dcb0762f653525bb85da.jpg,E:\project\orangefruitnet\train\images\20230123_114012_jpg.rf.00cd4053d843dcb0762f653525bb85da.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_114012_jpg.rf.00cd4053d843dcb0762f653525bb85da.txt,10,[2],YOLO
train,20230123_114015_jpg.rf.1a52e5735e127c6bf1e6e868443f62ab.jpg,E:\project\orangefruitnet\train\images\20230123_114015_jpg.rf.1a52e5735e127c6bf1e6e868443f62ab.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_114015_jpg.rf.1a52e5735e127c6bf1e6e868443f62ab.txt,58,[2],YOLO
train,20230123_114029_jpg.rf.39a9a934f54e09a6d3fd760498dc6ab5.jpg,E:\project\orangefruitnet\train\images\20230123_114029_jpg.rf.39a9a934f54e09a6d3fd760498dc6ab5.jpg,4032,3024,E:\project\orangefruitnet\train\labels\20230123_114029_jpg.rf.39a9a934f54e09a6d3fd760498dc6ab5.txt,48,[2],YOLO
